t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
-9.96,	0,	0,	0,	0,	0,	0,	0,	0,	0
0.04,	-3.7582638407,	-66.1232955333,	0,	1205.21181538,	-2691.96603077,	-271.204676923,	216.698528065,	-410.342051191,	-271.204676923
0.04,	-3.7582638407,	-66.1232955333,	0,	1212.41132308,	-2708.70990769,	-264.862892308,	214.791783774,	-412.647422811,	-264.862892308
0.04,	-3.7582638407,	-66.1232955333,	0,	1219.61083077,	-2725.45378462,	-261.329723077,	212.961309254,	-414.860579566,	-261.329723077
0.04,	50.5532627863,	-31.147358148,	0,	1226.81033846,	-2742.19766154,	-257.796553846,	213.376514779,	-415.586172555,	-257.796553846
0.04,	50.5532627863,	-31.147358148,	0,	1234.00984615,	-2758.94153846,	-254.263384615,	213.775112084,	-416.282741825,	-254.263384615
0.04,	-41.1724553268,	46.4594441333,	0,	1241.20935385,	-2775.68541538,	-242.1776,	210.488736773,	-413.847176233,	-242.1776
0.04,	-41.1724553268,	46.4594441333,	0,	1248.40886154,	-2792.42929231,	-230.091815385,	207.333816473,	-411.509033264,	-230.091815385
0.04,	-31.6662151467,	58.3280568333,	0,	1255.60836923,	-2809.17316923,	-232.311261538,	204.685342593,	-408.789671507,	-232.311261538
0.04,	-31.6662151467,	58.3280568333,	0,	1262.80787692,	-2825.91704615,	-234.530707692,	202.142807668,	-406.179084219,	-234.530707692
0.04,	-31.6662151467,	58.3280568333,	0,	1270.00738462,	-2842.66092308,	-236.750153846,	199.70197414,	-403.672920423,	-236.750153846
0.04,	33.6916731499,	-21.8265363453,	0,	1277.20689231,	-2859.4048,	-238.9696,	199.973089485,	-404.473186906,	-238.9696
0.04,	33.6916731499,	-21.8265363453,	0,	1284.4064,	-2876.14867692,	-241.189046154,	200.233360216,	-405.24144273,	-241.189046154
0.04,	51.0777416261,	-38.2676539561,	0,	1291.60590769,	-2892.89255385,	-243.408492308,	201.178662857,	-406.636613025,	-243.408492308
0.04,	51.0777416261,	-38.2676539561,	0,	1298.80541538,	-2909.63643077,	-245.627938462,	202.086153393,	-407.975976509,	-245.627938462
0.04,	51.0777416261,	-38.2676539561,	0,	1306.00492308,	-2926.38030769,	-247.847384615,	202.957344307,	-409.261765453,	-247.847384615
0.04,	-54.9919243195,	23.9338210495,	0,	1313.20443077,	-2924.64849231,	-250.066830769,	199.550900946,	-390.271399223,	-250.066830769
0.04,	-54.9919243195,	23.9338210495,	0,	1320.40393846,	-2922.91667692,	-252.286276923,	196.28071532,	-372.040647643,	-252.286276923
0.04,	28.8773475451,	33.2391923225,	0,	1327.60344615,	-2947.6064,	-263.958646154,	196.496107994,	-379.531588198,	-263.958646154
0.04,	28.8773475451,	33.2391923225,	0,	1334.80295385,	-2972.29612308,	-275.631015385,	196.70288496,	-386.722891131,	-275.631015385
0.04,	-23.5765087059,	20.9842432553,	0,	1342.00246154,	-3005.32430769,	-277.850461538,	194.803236598,	-402.121662987,	-277.850461538
0.04,	-23.5765087059,	20.9842432553,	0,	1349.20196923,	-3038.35249231,	-280.069907692,	192.979574171,	-416.904483968,	-280.069907692
0.04,	30.1462729955,	56.3493828669,	0,	1356.40147692,	-3068.38621538,	-282.289353846,	193.377769508,	-426.806703448,	-282.289353846
0.04,	30.1462729955,	56.3493828669,	0,	1363.60098462,	-3098.41993846,	-284.5088,	193.760037033,	-436.312834149,	-284.5088
0.04,	30.1462729955,	56.3493828669,	0,	1370.80049231,	-3128.45366154,	-286.728246154,	194.127013856,	-445.438719623,	-286.728246154
0.04,	-20.2696454605,	47.2398145845,	0,	1378.0,	-3162.89292308,	-288.947692308,	192.462674868,	-458.793269331,	-288.947692308
0.04,	-20.2696454605,	47.2398145845,	0,	1385.19950769,	-3197.33218462,	-291.167138462,	190.864909439,	-471.613637052,	-291.167138462
0.04,	25.2909895454,	62.1114147989,	0,	1392.39901538,	-3213.01944615,	-293.386584615,	191.153480028,	-465.324406055,	-293.386584615
0.04,	25.2909895454,	62.1114147989,	0,	1399.59852308,	-3228.70670769,	-295.606030769,	191.430507793,	-459.286744297,	-295.606030769
0.04,	-6.76038267249,	74.254157235,	0,	1406.79803077,	-3243.13489231,	-297.825476923,	190.414399559,	-451.796165467,	-297.825476923
