t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
0.04,	25.2703305443,	-1.74766524893,	0,	2053.78033588,	-1274.91615267,	494.205862595,	252.391192818,	-184.187872184,	494.205862595
0.04,	-47.1187720254,	22.4394325745,	0,	2048.0328855,	-1286.63261069,	498.600122137,	234.893241858,	-187.170579688,	498.600122137
0.04,	-47.1187720254,	22.4394325745,	0,	2042.28543511,	-1298.3490687,	502.994381679,	218.095208936,	-190.033978892,	502.994381679
0.04,	-47.1187720254,	22.4394325745,	0,	2036.53798473,	-1310.06552672,	507.388641221,	201.969097331,	-192.782842128,	507.388641221
0.04,	47.2370615784,	32.6995799957,	0,	2033.37099237,	-1314.2,	510.06259542,	192.739503229,	-187.732639595,	510.06259542
0.04,	47.2370615784,	32.6995799957,	0,	2030.204,	-1318.33447328,	512.736549618,	183.879092892,	-182.884445162,	512.736549618
0.04,	53.0320460498,	-33.8695046635,	0,	2041.57807634,	-1322.46894656,	515.565923664,	189.5643243,	-180.892941893,	515.565923664
0.04,	53.0320460498,	-33.8695046635,	0,	2052.95215267,	-1326.60341985,	518.39529771,	195.022146453,	-178.981098755,	518.39529771
0.04,	34.5680258129,	-40.1848086551,	0,	2054.71859542,	-1334.02003053,	513.24940458,	190.299766665,	-180.549193411,	513.24940458
0.04,	34.5680258129,	-40.1848086551,	0,	2056.48503817,	-1341.43664122,	508.10351145,	185.766282069,	-182.05456428,	508.10351145
0.04,	34.5680258129,	-40.1848086551,	0,	2058.25148092,	-1348.85325191,	502.957618321,	181.414136857,	-183.499720315,	502.957618321
0.04,	-10.4910263684,	-28.7801005013,	0,	2060.01792366,	-1352.98772519,	504.459053435,	175.433715366,	-181.280029873,	504.459053435
0.04,	-10.4910263684,	-28.7801005013,	0,	2061.78436641,	-1357.12219847,	505.96048855,	169.692510735,	-179.149127049,	505.96048855
0.04,	40.2241163228,	34.6693665667,	0,	2063.55080916,	-1361.25667176,	505.201465649,	166.209559997,	-174.565481656,	505.201465649
0.04,	40.2241163228,	34.6693665667,	0,	2065.31725191,	-1365.39114504,	504.442442748,	162.865927288,	-170.165182078,	504.442442748
0.04,	53.6020256865,	4.1289080293,	0,	2067.08369466,	-1369.52561832,	502.359755725,	160.191156262,	-167.162512825,	502.359755725
0.04,	53.6020256865,	4.1289080293,	0,	2068.8501374,	-1373.6600916,	500.277068702,	157.623376077,	-164.279950342,	500.277068702
0.04,	53.6020256865,	4.1289080293,	0,	2070.61658015,	-1377.79456489,	498.194381679,	155.1583071,	-161.512690358,	498.194381679
0.04,	-32.8237573052,	-57.1519087916,	0,	2072.3830229,	-1386.30247328,	495.72329771,	149.334809562,	-165.505851157,	495.72329771
0.04,	-32.8237573052,	-57.1519087916,	0,	2074.14946565,	-1394.81038168,	493.25221374,	143.744251925,	-169.339285523,	493.25221374
0.04,	-65.9225990183,	-23.3174249767,	0,	2075.9159084,	-1402.60348092,	494.37929771,	137.053362926,	-170.979786369,	494.37929771
0.04,	-65.9225990183,	-23.3174249767,	0,	2077.68235115,	-1410.39658015,	495.506381679,	130.630109486,	-172.55466718,	495.506381679
0.04,	-65.9225990183,	-23.3174249767,	0,	2079.44879389,	-1418.18967939,	496.633465649,	124.463786184,	-174.066552759,	496.633465649
0.04,	-1.41497403268,	0.517766626864,	0,	2081.21523664,	-1412.84262595,	487.288183206,	121.124420814,	-161.950008686,	487.288183206
0.04,	-1.41497403268,	0.517766626864,	0,	2082.98167939,	-1407.49557252,	477.942900763,	117.918630058,	-150.318126376,	477.942900763
0.04,	-6.58072101934,	46.3897545363,	0,	2084.74812214,	-1414.72775573,	475.872122137,	114.634441053,	-149.392707017,	475.872122137
0.04,	-6.58072101934,	46.3897545363,	0,	2086.51456489,	-1421.95993893,	473.801343511,	111.481619608,	-148.504304433,	473.801343511
0.04,	12.1844911829,	77.2248302563,	0,	2088.28100763,	-1423.47822901,	473.142167939,	109.205519509,	-140.932697519,	473.142167939
0.04,	12.1844911829,	77.2248302563,	0,	2090.04745038,	-1424.99651908,	472.482992366,	107.020463415,	-133.663954881,	472.482992366
0.04,	12.1844911829,	77.2248302563,	0,	2091.81389313,	-1426.51480916,	471.823816794,	104.922809563,	-126.685961949,	471.823816794
0.04,	31.3806457531,	-36.0990042969,	0,	2093.58033588,	-1421.45783206,	467.026625954,	103.676908049,	-118.207785627,	467.026625954
0.04,	31.3806457531,	-36.0990042969,	0,	2095.34677863,	-1416.40085496,	462.229435115,	102.480842596,	-110.068736359,	462.229435115
0.04,	-30.7280188963,	46.4467616603,	0,	2097.11322137,	-1426.7350229,	456.030412214,	98.848273174,	-113.728917659,	456.030412214
0.04,	-30.7280188963,	46.4467616603,	0,	2098.87966412,	-1437.06919084,	449.831389313,	95.3610065294,	-117.242691708,	449.831389313
0.04,	24.8344253011,	38.7696928746,	0,	2100.64610687,	-1434.10778626,	449.261068702,	94.2357283184,	-108.159247928,	449.261068702
0.04,	24.8344253011,	38.7696928746,	0,	2102.41254962,	-1431.14638168,	448.690748092,	93.1554612359,	-99.4391418987,	448.690748092
0.04,	24.8344253011,	38.7696928746,	0,	2104.17899237,	-1428.1849771,	448.120427481,	92.1184048367,	-91.0678401108,	448.120427481
0.04,	-68.3392188703,	-21.0149029266,	0,	2105.94543511,	-1427.40983206,	447.55010687,	87.3958849266,	-87.5215833868,	447.55010687
0.04,	-68.3392188703,	-21.0149029266,	0,	2107.71187786,	-1426.63468702,	446.97978626,	82.8622658128,	-84.1171769318,	446.97978626
0.04,	0.686990781237,	45.503992141,	0,	2109.47832061,	-1422.65770992,	446.409465649,	81.2710398498,	-75.1144321536,	446.409465649
0.04,	0.686990781237,	45.503992141,	0,	2111.24476336,	-1418.68073282,	445.839145038,	79.7434629252,	-66.4717971665,	445.839145038
0.04,	-23.6027508825,	10.5446421776,	0,	2113.01120611,	-1425.10314504,	445.268824427,	77.305399411,	-69.556655318,	445.268824427
0.04,	-23.6027508825,	10.5446421776,	0,	2114.77764885,	-1431.52555725,	444.698503817,	74.9648584375,	-72.5181191433,	444.698503817
0.04,	-23.6027508825,	10.5446421776,	0,	2116.5440916,	-1437.94796947,	444.128183206,	72.7179391028,	-75.3611244157,	444.128183206
0.04,	61.9573192591,	18.1223764359,	0,	2110.48854962,	-1438.4280916,	443.557862595,	66.4741940037,	-72.0827016335,	443.557862595
0.04,	61.9573192591,	18.1223764359,	0,	2104.43300763,	-1438.90821374,	442.987541985,	60.4801987086,	-68.9354157627,	442.987541985
0.04,	-58.6697134107,	-0.585812793863,	0,	2106.81074809,	-1438.83932824,	442.417221374,	57.9968330635,	-66.1353015676,	442.417221374
0.04,	-58.6697134107,	-0.585812793863,	0,	2109.18848855,	-1438.77044275,	441.846900763,	55.6128020443,	-63.4471919403,	441.846900763
0.04,	-58.6697134107,	-0.585812793863,	0,	2103.34699237,	-1443.93728244,	441.276580153,	45.4336650902,	-65.8929028813,	441.276580153
0.04,	18.9657074786,	-54.9477078501,	0,	2097.50549618,	-1449.10412214,	440.706259542,	38.7671104498,	-70.4152611869,	440.706259542
0.04,	18.9657074786,	-54.9477078501,	0,	2091.664,	-1454.27096183,	440.135938931,	32.3672179951,	-74.7567251603,	440.135938931
0.04,	-53.4562328341,	-31.9113437806,	0,	2089.79960305,	-1452.32299237,	439.565618321,	27.1444588932,	-71.1728592181,	439.565618321
